date,price,ad_spend,holiday,clicks
2023-03-20,24.99,8,0,873
2023-03-21,24.99,8,0,770
2023-03-22,24.99,8,0,859
2023-03-23,24.99,8,0,889
2023-03-24,24.99,8,0,946
2023-03-25,24.99,8,0,847
2023-03-26,24.99,8,0,833
2023-03-27,24.99,8,0,850
2023-03-28,24.99,8,0,921
2023-03-29,24.99,8,0,893
2023-03-30,24.99,8,0,851
2023-03-31,24.99,8,0,904
2023-04-01,24.99,9,0,994
2023-04-02,24.99,9,0,1038
2023-04-03,24.99,9,0,956
2023-04-04,24.99,9,0,976
2023-04-05,24.99,9,0,973
2023-04-06,24.99,9,0,921
2023-04-07,24.99,9,0,1010
2023-04-08,24.99,9,0,1009
2023-04-09,24.99,9,0,997
2023-04-10,24.99,9,0,986
2023-04-11,24.99,9,0,928
2023-04-12,24.99,9,0,979
2023-04-13,24.99,9,0,984
2023-04-14,24.99,9,0,962
2023-04-15,24.99,9,0,995
2023-04-16,24.99,9,0,1024
2023-04-17,24.99,9,0,1099
2023-04-18,24.99,9,0,1015
2023-04-19,24.99,9,0,1020
2023-04-20,24.99,9,0,1004
2023-04-21,24.99,9,0,913
2023-04-22,24.99,9,0,1008
2023-04-23,24.99,9,0,1014
2023-04-24,24.99,9,0,1135
2023-04-25,24.99,9,0,1003
2023-04-26,24.99,9,0,1029
2023-04-27,24.99,9,0,1013
2023-04-28,24.99,9,0,957
2023-04-29,24.99,9,0,1074
2023-04-30,24.99,9,0,1055
2023-05-01,24.99,6,0,719
2023-05-02,24.99,6,0,634
2023-05-03,24.99,6,0,751
2023-05-04,24.99,6,0,611
2023-05-05,24.99,6,0,711
2023-05-06,24.99,6,0,792
2023-05-07,24.99,6,0,634
2023-05-08,24.99,6,0,655
2023-05-09,24.99,6,0,689
2023-05-10,24.99,6,0,660
2023-05-11,24.99,6,0,608
2023-05-12,24.99,6,0,690
2023-05-13,24.99,6,0,634
2023-05-14,24.99,6,0,1655
2023-05-15,24.99,6,0,642
2023-05-16,24.99,6,0,767
2023-05-17,24.99,6,0,651
2023-05-18,24.99,6,0,674
2023-05-19,24.99,6,0,732
2023-05-20,24.99,6,0,630
2023-05-21,24.99,6,0,704
2023-05-22,24.99,6,0,758
2023-05-23,24.99,6,0,613
2023-05-24,24.99,6,0,704
2023-05-25,24.99,6,0,708
2023-05-26,24.99,6,0,735
2023-05-27,24.99,6,0,634
2023-05-28,24.99,6,0,631
2023-05-29,24.99,6,0,724
2023-05-30,24.99,6,0,713
2023-05-31,24.99,6,0,711
2023-06-01,24.99,6,0,717
2023-06-02,24.99,6,0,666
2023-06-03,24.99,6,0,712
2023-06-04,24.99,6,0,716
2023-06-05,24.99,6,0,666
2023-06-06,24.99,6,0,796
2023-06-07,24.99,6,0,727
2023-06-08,24.99,6,0,645
2023-06-09,24.99,6,0,738
2023-06-10,24.99,6,0,657
2023-06-11,24.99,6,0,746
2023-06-12,24.99,6,0,765
2023-06-13,24.99,6,0,666
2023-06-14,24.99,6,0,756
2023-06-15,24.99,6,0,729
2023-06-16,24.99,6,0,751
2023-06-17,24.99,6,0,805
2023-06-18,24.99,6,0,698
2023-06-19,24.99,6,0,674
2023-06-20,24.99,6,0,668
2023-06-21,24.99,6,0,672
2023-06-22,24.99,6,0,710
2023-06-23,24.99,6,0,731
2023-06-24,24.99,6,0,729
2023-06-25,24.99,6,0,757
2023-06-26,24.99,6,0,717
2023-06-27,24.99,6,0,789
2023-06-28,24.99,6,0,704
2023-06-29,24.99,6,0,854
2023-06-30,24.99,6,0,750
2023-07-01,22.99,6,0,712
2023-07-02,22.99,6,0,702
2023-07-03,22.99,6,0,781
2023-07-04,22.99,6,1,711
2023-07-05,22.99,6,0,794
2023-07-06,22.99,6,0,782
2023-07-07,22.99,6,0,756
2023-07-08,22.99,6,0,718
2023-07-09,22.99,6,0,685
2023-07-10,22.99,6,0,739
2023-07-11,22.99,6,0,805
2023-07-12,22.99,6,0,774
2023-07-13,22.99,6,0,701
2023-07-14,22.99,6,0,773
2023-07-15,22.99,6,0,784
2023-07-16,22.99,6,0,721
2023-07-17,22.99,6,0,774
2023-07-18,22.99,6,0,770
2023-07-19,22.99,6,0,711
2023-07-20,22.99,6,0,786
2023-07-21,22.99,6,0,797
2023-07-22,22.99,6,0,824
2023-07-23,22.99,6,0,823
2023-07-24,22.99,6,0,702
2023-07-25,22.99,6,0,725
2023-07-26,22.99,6,0,798
2023-07-27,22.99,6,0,799
2023-07-28,22.99,6,0,800
2023-07-29,22.99,6,0,967
2023-07-30,22.99,6,0,804
2023-07-31,22.99,6,0,833
2023-08-01,22.99,6,0,824
2023-08-02,22.99,6,0,810
2023-08-03,22.99,6,0,762
2023-08-04,22.99,6,0,817
2023-08-05,22.99,6,0,741
2023-08-06,22.99,6,0,768
2023-08-07,22.99,6,0,757
2023-08-08,22.99,6,0,786
2023-08-09,22.99,6,0,898
2023-08-10,22.99,6,0,690
2023-08-11,22.99,6,0,818
2023-08-12,22.99,6,0,704
2023-08-13,22.99,6,0,761
2023-08-14,22.99,6,0,840
2023-08-15,22.99,6,0,790
2023-08-16,22.99,6,0,733
2023-08-17,22.99,6,0,752
2023-08-18,22.99,6,0,823
2023-08-19,22.99,6,0,753
2023-08-20,22.99,6,0,801
2023-08-21,22.99,6,0,793
2023-08-22,22.99,6,0,759
2023-08-23,22.99,6,0,899
2023-08-24,22.99,6,0,824
2023-08-25,22.99,6,0,692
2023-08-26,22.99,6,0,803
2023-08-27,22.99,6,0,762
2023-08-28,22.99,6,0,838
2023-08-29,22.99,6,0,757
2023-08-30,22.99,6,0,791
2023-08-31,22.99,6,0,823
2023-09-01,24.99,9,0,1184
2023-09-02,24.99,9,0,1081
2023-09-03,24.99,9,0,1126
2023-09-04,24.99,9,0,1120
2023-09-05,24.99,9,0,1112
2023-09-06,24.99,9,0,1234
2023-09-07,24.99,9,0,1167
2023-09-08,24.99,9,0,1084
2023-09-09,24.99,9,0,1194
2023-09-10,24.99,9,0,1255
2023-09-11,24.99,9,0,1202
2023-09-12,24.99,9,0,1075
2023-09-13,24.99,9,0,1128
2023-09-14,24.99,9,0,1217
2023-09-15,24.99,9,0,1119
2023-09-16,24.99,9,0,1177
2023-09-17,24.99,9,0,1195
2023-09-18,24.99,9,0,1111
2023-09-19,24.99,9,0,1155
2023-09-20,24.99,9,0,997
2023-09-21,24.99,9,0,1109
2023-09-22,24.99,9,0,1148
2023-09-23,24.99,9,0,1100
2023-09-24,24.99,9,0,1245
2023-09-25,24.99,9,0,1093
2023-09-26,24.99,9,0,1143
2023-09-27,24.99,9,0,1173
2023-09-28,24.99,9,0,1239
2023-09-29,24.99,9,0,1096
2023-09-30,24.99,9,0,1227
2023-10-01,24.99,8,0,1041
2023-10-02,24.99,8,0,992
2023-10-03,24.99,8,0,1065
2023-10-04,24.99,8,0,1053
2023-10-05,24.99,8,0,1014
2023-10-06,24.99,8,0,1048
2023-10-07,24.99,8,0,1026
2023-10-08,24.99,8,0,1052
2023-10-09,24.99,8,0,1080
2023-10-10,24.99,8,0,1127
2023-10-11,24.99,8,0,987
2023-10-12,24.99,8,0,1156
2023-10-13,24.99,8,0,953
2023-10-14,24.99,8,0,1044
2023-10-15,24.99,8,0,1082
2023-10-16,24.99,8,0,1067
2023-10-17,24.99,8,0,1023
2023-10-18,24.99,8,0,1045
2023-10-19,24.99,8,0,1031
2023-10-20,24.99,8,0,1027
2023-10-21,24.99,8,0,1100
2023-10-22,24.99,8,0,1076
2023-10-23,24.99,8,0,1025
2023-10-24,24.99,8,0,1105
2023-10-25,24.99,8,0,1076
2023-10-26,24.99,8,0,1103
2023-10-27,24.99,8,0,1094
2023-10-28,24.99,8,0,1022
2023-10-29,24.99,8,0,1037
2023-10-30,24.99,8,0,1103
2023-10-31,24.99,8,0,1097
2023-11-01,24.99,9,0,1200
2023-11-02,24.99,9,0,1208
2023-11-03,24.99,9,0,1267
2023-11-04,24.99,9,0,1174
2023-11-05,24.99,9,0,1232
2023-11-06,24.99,9,0,1195
2023-11-07,24.99,9,0,1196
2023-11-08,24.99,9,0,1263
2023-11-09,24.99,9,0,1250
2023-11-10,24.99,9,0,1250
2023-11-11,24.99,9,0,1276
2023-11-12,24.99,9,0,1213
2023-11-13,24.99,9,0,1247
2023-11-14,24.99,9,0,1198
2023-11-15,24.99,9,0,1231
2023-11-16,24.99,9,0,1209
2023-11-17,24.99,9,0,1221
2023-11-18,24.99,9,0,1247
2023-11-19,24.99,9,0,1178
2023-11-20,24.99,9,0,1324
2023-11-21,24.99,9,0,1170
2023-11-22,24.99,9,0,1161
2023-11-23,24.99,9,1,2747
2023-11-24,24.99,9,0,1263
2023-11-25,24.99,9,0,1256
2023-11-26,24.99,9,0,1257
2023-11-27,24.99,9,0,1226
2023-11-28,24.99,9,0,1182
2023-11-29,24.99,9,0,1232
2023-11-30,24.99,9,0,1195
2023-12-01,19.99,8,0,1306
2023-12-02,19.99,8,0,1251
2023-12-03,19.99,8,0,1218
2023-12-04,19.99,8,0,1245
2023-12-05,19.99,8,0,1282
2023-12-06,19.99,8,0,1235
2023-12-07,19.99,8,0,1223
2023-12-08,19.99,8,0,1277
2023-12-09,19.99,8,0,1278
2023-12-10,19.99,8,0,1241
2023-12-11,19.99,8,0,1244
2023-12-12,19.99,8,0,1280
2023-12-13,19.99,8,0,1197
2023-12-14,19.99,8,0,1200
2023-12-15,19.99,8,0,1236
2023-12-16,19.99,8,0,1262
2023-12-17,19.99,8,0,1289
2023-12-18,19.99,8,0,1349
2023-12-19,19.99,8,0,1319
2023-12-20,19.99,8,0,1269
2023-12-21,19.99,8,0,1277
2023-12-22,19.99,8,0,1229
2023-12-23,19.99,8,0,1279
2023-12-24,19.99,8,0,1266
2023-12-25,19.99,8,1,2836
2023-12-26,19.99,8,0,1242
2023-12-27,19.99,8,0,1310
2023-12-28,19.99,8,0,1362
2023-12-29,19.99,8,0,1281
2023-12-30,19.99,8,0,1307
2023-12-31,19.99,8,0,1323
2024-01-01,24.99,9,1,2752
2024-01-02,24.99,9,0,1271
2024-01-03,24.99,9,0,1261
2024-01-04,24.99,9,0,1265
2024-01-05,24.99,9,0,1221
2024-01-06,24.99,9,0,1261
2024-01-07,24.99,9,0,1285
2024-01-08,24.99,9,0,1333
2024-01-09,24.99,9,0,1308
2024-01-10,24.99,9,0,1368
2024-01-11,24.99,9,0,1222
2024-01-12,24.99,9,0,1304
2024-01-13,24.99,9,0,1269
2024-01-14,24.99,9,0,1369
2024-01-15,24.99,9,0,1220
2024-01-16,24.99,9,0,1218
2024-01-17,24.99,9,0,1230
2024-01-18,24.99,9,0,1154
2024-01-19,24.99,9,0,1234
2024-01-20,24.99,9,0,1222
2024-01-21,24.99,9,0,1268
2024-01-22,24.99,9,0,1277
2024-01-23,24.99,9,0,1354
2024-01-24,24.99,9,0,1308
2024-01-25,24.99,9,0,1231
2024-01-26,24.99,9,0,1215
2024-01-27,24.99,9,0,1285
2024-01-28,24.99,9,0,1194
2024-01-29,24.99,9,0,1352
2024-01-30,24.99,9,0,1319
2024-01-31,24.99,9,0,1237
2024-02-01,19.99,5,0,719
2024-02-02,19.99,5,0,873
2024-02-03,19.99,5,0,799
2024-02-04,19.99,5,0,867
2024-02-05,19.99,5,0,725
2024-02-06,19.99,5,0,775
2024-02-07,19.99,5,0,805
2024-02-08,19.99,5,0,807
2024-02-09,19.99,5,0,782
2024-02-10,19.99,5,0,836
2024-02-11,19.99,5,0,752
2024-02-12,19.99,5,0,798
2024-02-13,19.99,5,0,811
2024-02-14,19.99,5,1,1797
2024-02-15,24.99,5,0,736
2024-02-16,24.99,5,0,644
2024-02-17,24.99,5,0,623
2024-02-18,24.99,5,0,764
2024-02-19,24.99,5,0,717
2024-02-20,24.99,5,0,663
2024-02-21,24.99,5,0,778
2024-02-22,24.99,5,0,706
2024-02-23,24.99,5,0,759
2024-02-24,24.99,5,0,703
2024-02-25,24.99,5,0,803
2024-02-26,24.99,5,0,788
2024-02-27,24.99,5,0,688
2024-02-28,24.99,5,0,749
2024-02-29,24.99,5,0,732
2024-03-01,24.99,8,0,1188
2024-03-02,24.99,8,0,1072
2024-03-03,24.99,8,0,1154
2024-03-04,24.99,8,0,1173
2024-03-05,24.99,8,0,1032
2024-03-06,24.99,8,0,1061
2024-03-07,24.99,8,0,1018
2024-03-08,24.99,8,0,1107
2024-03-09,24.99,8,0,1156
2024-03-10,24.99,8,0,1195
2024-03-11,24.99,8,0,1124
2024-03-12,24.99,8,0,1201
2024-03-13,24.99,8,0,1051
2024-03-14,24.99,8,0,1035
2024-03-15,24.99,8,0,1117
2024-03-16,24.99,8,0,1139
2024-03-17,24.99,8,0,1118
2024-03-18,24.99,8,0,1017
2024-03-19,24.99,8,0,1116
2024-03-20,24.99,8,0,1055
2024-03-21,24.99,8,0,1153
2024-03-22,24.99,8,0,1138
2024-03-23,24.99,8,0,1073
2024-03-24,24.99,8,0,1094
2024-03-25,24.99,8,0,1067
2024-03-26,24.99,8,0,1117
2024-03-27,24.99,8,0,1168
2024-03-28,24.99,8,0,1071
2024-03-29,24.99,8,0,1145
2024-03-30,24.99,8,0,1093
2024-03-31,24.99,8,0,1080
2024-04-01,24.99,9,0,1255
2024-04-02,24.99,9,0,1208
2024-04-03,24.99,9,0,1232
2024-04-04,24.99,9,0,1200
2024-04-05,24.99,9,0,1358
2024-04-06,24.99,9,0,1262
2024-04-07,24.99,9,0,1225
2024-04-08,24.99,9,0,1271
2024-04-09,24.99,9,0,1254
2024-04-10,24.99,9,0,1249
2024-04-11,24.99,9,0,1291
2024-04-12,24.99,9,0,1298
2024-04-13,24.99,9,0,1233
2024-04-14,24.99,9,0,1231
2024-04-15,24.99,9,0,1246
2024-04-16,24.99,9,0,1145
2024-04-17,24.99,9,0,1184
2024-04-18,24.99,9,0,1328
2024-04-19,24.99,9,0,1342
2024-04-20,24.99,9,0,1248
2024-04-21,24.99,9,0,1289
2024-04-22,24.99,9,0,1276
2024-04-23,24.99,9,0,1414
2024-04-24,24.99,9,0,1316
2024-04-25,24.99,9,0,1254
2024-04-26,24.99,9,0,1212
2024-04-27,24.99,9,0,1180
2024-04-28,24.99,9,0,1270
2024-04-29,24.99,9,0,1222
2024-04-30,24.99,9,0,1189
2024-05-01,24.99,6,0,808
2024-05-02,24.99,6,0,786
2024-05-03,24.99,6,0,924
2024-05-04,24.99,6,0,884
2024-05-05,24.99,6,0,840
2024-05-06,24.99,6,0,914
2024-05-07,24.99,6,0,844
2024-05-08,24.99,6,0,797
2024-05-09,24.99,6,0,916
2024-05-10,24.99,6,0,867
2024-05-11,24.99,6,0,788
2024-05-12,24.99,6,0,830
2024-05-13,24.99,6,0,796
2024-05-14,24.99,6,0,1945
2024-05-15,24.99,6,0,886
2024-05-16,24.99,6,0,935
2024-05-17,24.99,6,0,770
2024-05-18,24.99,6,0,868
2024-05-19,24.99,6,0,807
2024-05-20,24.99,6,0,816
2024-05-21,24.99,6,0,810
2024-05-22,24.99,6,0,797
2024-05-23,24.99,6,0,842
2024-05-24,24.99,6,0,798
2024-05-25,24.99,6,0,854
2024-05-26,24.99,6,0,837
2024-05-27,24.99,6,0,828
2024-05-28,24.99,6,0,795
2024-05-29,24.99,6,0,811
2024-05-30,24.99,6,0,878
2024-05-31,24.99,6,0,865
2024-06-01,24.99,6,0,791
2024-06-02,24.99,6,0,845
2024-06-03,24.99,6,0,878
2024-06-04,24.99,6,0,757
2024-06-05,24.99,6,0,867
2024-06-06,24.99,6,0,807
2024-06-07,24.99,6,0,869
2024-06-08,24.99,6,0,802
2024-06-09,24.99,6,0,750
2024-06-10,24.99,6,0,759
2024-06-11,24.99,6,0,842
2024-06-12,24.99,6,0,853
2024-06-13,24.99,6,0,795
2024-06-14,24.99,6,0,872
2024-06-15,24.99,6,0,757
2024-06-16,24.99,6,0,837
2024-06-17,24.99,6,0,779
2024-06-18,24.99,6,0,807
2024-06-19,24.99,6,0,842
2024-06-20,24.99,6,0,797
2024-06-21,24.99,6,0,821
2024-06-22,24.99,6,0,890
2024-06-23,24.99,6,0,811
2024-06-24,24.99,6,0,882
2024-06-25,24.99,6,0,784
2024-06-26,24.99,6,0,866
2024-06-27,24.99,6,0,912
2024-06-28,24.99,6,0,716
2024-06-29,24.99,6,0,800
2024-06-30,24.99,6,0,869
2024-07-01,22.99,6,0,872
2024-07-02,22.99,6,0,901
2024-07-03,22.99,6,0,852
2024-07-04,22.99,6,1,771
2024-07-05,22.99,6,0,874
2024-07-06,22.99,6,0,940
2024-07-07,22.99,6,0,895
2024-07-08,22.99,6,0,899
2024-07-09,22.99,6,0,861
2024-07-10,22.99,6,0,858
2024-07-11,22.99,6,0,860
2024-07-12,22.99,6,0,902
2024-07-13,22.99,6,0,861
2024-07-14,22.99,6,0,896
2024-07-15,22.99,6,0,986
2024-07-16,22.99,6,0,926
2024-07-17,22.99,6,0,866
2024-07-18,22.99,6,0,942
2024-07-19,22.99,6,0,862
2024-07-20,22.99,6,0,780
2024-07-21,22.99,6,0,832
2024-07-22,22.99,6,0,788
2024-07-23,22.99,6,0,864
2024-07-24,22.99,6,0,883
2024-07-25,22.99,6,0,966
2024-07-26,22.99,6,0,898
2024-07-27,22.99,6,0,871
2024-07-28,22.99,6,0,923
2024-07-29,22.99,6,0,771
2024-07-30,22.99,6,0,894
2024-07-31,22.99,6,0,921
2024-08-01,22.99,6,0,808
2024-08-02,22.99,6,0,939
2024-08-03,22.99,6,0,899
2024-08-04,22.99,6,0,861
2024-08-05,22.99,6,0,914
2024-08-06,22.99,6,0,996
2024-08-07,22.99,6,0,891
2024-08-08,22.99,6,0,894
2024-08-09,22.99,6,0,859
2024-08-10,22.99,6,0,840
2024-08-11,22.99,6,0,924
2024-08-12,22.99,6,0,839
2024-08-13,22.99,6,0,886
2024-08-14,22.99,6,0,858
2024-08-15,22.99,6,0,906
2024-08-16,22.99,6,0,899
2024-08-17,22.99,6,0,934
2024-08-18,22.99,6,0,856
2024-08-19,22.99,6,0,869
2024-08-20,22.99,6,0,833
2024-08-21,22.99,6,0,860
2024-08-22,22.99,6,0,901
2024-08-23,22.99,6,0,920
2024-08-24,22.99,6,0,836
2024-08-25,22.99,6,0,925
2024-08-26,22.99,6,0,950
2024-08-27,22.99,6,0,903
2024-08-28,22.99,6,0,976
2024-08-29,22.99,6,0,843
2024-08-30,22.99,6,0,820
2024-08-31,22.99,6,0,793
2024-09-01,24.99,9,0,1335
2024-09-02,24.99,9,0,1293
2024-09-03,24.99,9,0,1257
2024-09-04,24.99,9,0,1274
2024-09-05,24.99,9,0,1204
2024-09-06,24.99,9,0,1382
2024-09-07,24.99,9,0,1266
2024-09-08,24.99,9,0,1265
2024-09-09,24.99,9,0,1296
2024-09-10,24.99,9,0,1284
2024-09-11,24.99,9,0,1271
2024-09-12,24.99,9,0,1220
2024-09-13,24.99,9,0,1284
2024-09-14,24.99,9,0,1354
2024-09-15,24.99,9,0,1327
2024-09-16,24.99,9,0,1340
2024-09-17,24.99,9,0,1234
2024-09-18,24.99,9,0,1211
2024-09-19,24.99,9,0,1254
2024-09-20,24.99,9,0,1263
2024-09-21,24.99,9,0,1315
2024-09-22,24.99,9,0,1175
2024-09-23,24.99,9,0,1336
2024-09-24,24.99,9,0,1252
2024-09-25,24.99,9,0,1239
2024-09-26,24.99,9,0,1209
2024-09-27,24.99,9,0,1177
2024-09-28,24.99,9,0,1301
2024-09-29,24.99,9,0,1264
2024-09-30,24.99,9,0,1196
2024-10-01,24.99,8,0,1055
2024-10-02,24.99,8,0,1103
2024-10-03,24.99,8,0,1203
2024-10-04,24.99,8,0,1107
2024-10-05,24.99,8,0,1045
2024-10-06,24.99,8,0,1108
2024-10-07,24.99,8,0,1106
2024-10-08,24.99,8,0,985
2024-10-09,24.99,8,0,1117
2024-10-10,24.99,8,0,1108
2024-10-11,24.99,8,0,1155
2024-10-12,24.99,8,0,1212
2024-10-13,24.99,8,0,1176
2024-10-14,24.99,8,0,1107
2024-10-15,24.99,8,0,1065
2024-10-16,24.99,8,0,1249
2024-10-17,24.99,8,0,1123
2024-10-18,24.99,8,0,1121
2024-10-19,24.99,8,0,1119
2024-10-20,24.99,8,0,1130
2024-10-21,24.99,8,0,1113
2024-10-22,24.99,8,0,1091
2024-10-23,24.99,8,0,1093
2024-10-24,24.99,8,0,1118
2024-10-25,24.99,8,0,1093
2024-10-26,24.99,8,0,1084
2024-10-27,24.99,8,0,1125
2024-10-28,24.99,8,0,1107
2024-10-29,24.99,8,0,1195
2024-10-30,24.99,8,0,987
2024-10-31,24.99,8,0,1175
2024-11-01,24.99,9,0,1322
2024-11-02,24.99,9,0,1156
2024-11-03,24.99,9,0,1243
2024-11-04,24.99,9,0,1241
2024-11-05,24.99,9,0,1190
2024-11-06,24.99,9,0,1221
2024-11-07,24.99,9,0,1204
2024-11-08,24.99,9,0,1348
2024-11-09,24.99,9,0,1307
2024-11-10,24.99,9,0,1324
2024-11-11,24.99,9,0,1296
2024-11-12,24.99,9,0,1204
2024-11-13,24.99,9,0,1234
2024-11-14,24.99,9,0,1284
2024-11-15,24.99,9,0,1199
2024-11-16,24.99,9,0,1296
2024-11-17,24.99,9,0,1248
2024-11-18,24.99,9,0,1241
2024-11-19,24.99,9,0,1296
2024-11-20,24.99,9,0,1282
2024-11-21,24.99,9,0,1242
2024-11-22,24.99,9,0,1318
2024-11-23,24.99,9,0,1206
2024-11-24,24.99,9,0,1291
2024-11-25,24.99,9,0,1290
2024-11-26,24.99,9,0,1245
2024-11-27,24.99,9,0,1276
2024-11-28,24.99,9,1,2709
2024-11-29,24.99,9,0,1306
2024-11-30,24.99,9,0,1251
2024-12-01,19.99,8,0,1262
2024-12-02,19.99,8,0,1340
2024-12-03,19.99,8,0,1253
2024-12-04,19.99,8,0,1218
2024-12-05,19.99,8,0,1210
2024-12-06,19.99,8,0,1318
2024-12-07,19.99,8,0,1224
2024-12-08,19.99,8,0,1376
2024-12-09,19.99,8,0,1184
2024-12-10,19.99,8,0,1373
2024-12-11,19.99,8,0,1299
2024-12-12,19.99,8,0,1283
2024-12-13,19.99,8,0,1261
2024-12-14,19.99,8,0,1308
2024-12-15,19.99,8,0,1286
2024-12-16,19.99,8,0,1343
2024-12-17,19.99,8,0,1294
2024-12-18,19.99,8,0,1296
2024-12-19,19.99,8,0,1270
2024-12-20,19.99,8,0,1285
2024-12-21,19.99,8,0,1303
2024-12-22,19.99,8,0,1202
2024-12-23,19.99,8,0,1221
2024-12-24,19.99,8,0,1325
2024-12-25,19.99,8,1,2842
2024-12-26,19.99,8,0,1279
2024-12-27,19.99,8,0,1289
2024-12-28,19.99,8,0,1305
2024-12-29,19.99,8,0,1261
2024-12-30,19.99,8,0,1249
2024-12-31,19.99,8,0,1298
